No.,% Ball Retention,Name,Club,Age,Ratio to Team
81,85.70%,Nicolai Poulsen,AGF Aarhus (DEN),31.1 yrs,12%
82,85.70%,Fredrik Hammar,Hammarby IF (SWE),23.5 yrs,9%
83,85.60%,Sam Morsy,Ipswich Town (ENG),33.0 yrs,16%
84,85.50%,James Maddison,Tottenham Hotspur (ENG),27.8 yrs,11%
85,85.50%,Raphael Onyedika,Club Brugge (BEL),23.4 yrs,12%
86,85.50%,Patryk Dziczek,Piast Gliwice (POL),26.5 yrs,10%
87,85.50%,Denis Zakaria,AS Monaco (FRA),27.8 yrs,15%
88,85.40%,Lukáš Ambros,Górnik Zabrze (POL),20.3 yrs,14%
89,85.40%,Caio Alexandre,EC Bahia (BRA),25.5 yrs,11%
90,85.40%,Ismet Lushaku,IFK Norrköping (SWE),24.0 yrs,14%
91,85.30%,Samuel Dancák,FC Hradec Králové (CZE),26.5 yrs,24%
92,85.30%,Jakub Serafin,Puszcza Niepolomice (POL),28.3 yrs,20%
93,85.30%,Ringo Meerveld,Willem II (NED),21.7 yrs,17%
94,85.30%,Lucien Agoumé,Sevilla FC (ESP),22.6 yrs,10%
95,85.20%,Seydouba Cissé,CD Leganés (ESP),23.6 yrs,17%
96,85.10%,Rezende Miranda,EC Bahia (BRA),29.7 yrs,10%
97,85.10%,Rodrigo Andrade,EC Vitória (BRA),27.6 yrs,16%
98,85.10%,Ángel Márquez,Atlas Guadalajara (MEX),24.2 yrs,14%
99,85.10%,Felipe Machado,EC Vitória (BRA),28.6 yrs,16%
100,85.10%,Allan Rodrigues,CR Flamengo (BRA),27.5 yrs,12%
